game_id,date,lane,session_game,completed_time,player,nickname,f1_b1,f1_b2,f2_b1,f2_b2,f3_b1,f3_b2,f4_b1,f4_b2,f5_b1,f5_b2,f6_b1,f6_b2,f7_b1,f7_b2,f8_b1,f8_b2,f9_b1,f9_b2,f10_b1,f10_b2,f10_b3,final_score
a4h0fmxzdrk,,11,1,,,MAH,7,0,6,3,8,0,4,0,0,7,7,3,1,9,8,0,5,4,4,1,,86
a4h0fmxzdrk,,11,1,,,SOUP,0,1,6,2,6,0,6,3,2,0,8,1,7,1,1,0,1,4,9,0,,58
nx0v0b5qwy,,11,2,,,MAH,4,1,3,0,0,9,10,,7,0,1,8,5,5,8,0,8,0,4,5,,93
nx0v0b5qwy,,11,2,,,SOUP,2,5,7,0,1,0,0,0,3,6,5,0,9,0,3,0,7,3,1,3,,56
guq0hovhrls,,10,1,,,EEB,8,0,10,,7,1,1,7,10,,10,,4,0,7,2,10,,10,9,1,142
guq0hovhrls,,10,1,,,MATTY,0,9,7,0,1,1,10,,8,1,9,0,5,4,7,0,7,1,3,6,,88
jr6bmkis5ko,,10,2,,,EEB,7,3,1,7,6,0,8,2,9,0,9,0,7,1,9,1,7,0,10,9,0,113
jr6bmkis5ko,,10,2,,,SHEEM,7,2,5,3,0,5,0,5,3,3,3,5,8,2,7,0,8,2,0,0,,75
jr6bmkis5ko,,10,2,,,MATTY,0,8,8,0,0,7,1,6,7,2,6,0,7,0,8,0,10,,5,3,,86
dat1wxcahuq,,1,1,,,MATH,2,0,8,2,6,1,1,0,9,0,6,4,7,0,7,0,5,1,0,7,,79
dat1wxcahuq,,1,1,,,SCI,0,0,0,3,8,0,0,3,0,0,0,0,9,0,0,0,6,0,0,0,,29
jdklb2ds1pm,,1,2,,,MATH,6,0,0,10,1,0,0,10,9,0,8,0,0,10,8,1,6,0,6,3,,96
jdklb2ds1pm,,1,2,,,SCI,0,0,4,0,0,2,6,0,0,0,7,0,8,0,8,0,7,0,0,0,,42
peovxbcsao,,9,1,,,MATH,9,0,1,5,8,0,0,6,6,4,9,0,1,4,7,1,7,0,7,0,,84
peovxbcsao,,9,1,,,SUSS,0,0,3,3,0,0,7,3,6,3,8,1,1,0,5,4,1,0,8,0,,59
mmcoe0czuqm,,9,2,,,MATH,9,0,6,4,6,4,5,1,3,0,8,0,9,1,3,3,5,0,1,6,,88
mmcoe0czuqm,,9,2,,,SUSS,8,0,4,0,8,2,8,0,6,2,9,0,0,0,0,0,8,0,8,0,,71
tmfujkx1y9w,,4,1,,,SHAM,0,0,8,0,9,0,7,0,3,3,0,0,1,4,6,0,5,4,1,8,,59
tmfujkx1y9w,,4,1,,,MOP,6,0,7,0,8,0,6,0,9,0,6,0,7,0,8,2,5,0,1,8,,78
8p7pqxm33s,,4,2,,,SHAN,10,,0,0,9,0,1,0,0,0,8,0,6,0,3,0,9,0,0,0,,46
8p7pqxm33s,,4,2,,,MOP,7,0,0,0,6,1,9,0,9,0,1,0,1,4,3,0,0,1,4,1,,47
g3rsl156i84,,7,1,,,MOTHB,0,3,7,1,9,1,7,3,0,0,6,1,6,1,3,4,6,4,1,6,,77
g3rsl156i84,,7,1,,,ELERT,0,4,9,1,1,6,8,1,6,0,2,5,8,0,10,,5,1,9,0,,83
